host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,price,Host_response_time,Host_reponse_rate,Host_acceptance_rate,Host_is_superhost,Host_identity_verified,Instant_bookable
within an hour,100%,98%,f,Newton,f,42.35207046,-71.06527005,Other,Entire home/apt,3,1.0,0.0,2.0,1,465,3,0,4.67,4.67,5.0,5.0,5.0,5.0,4.67,STR-544951,f,$233.00,Fast,1.0,0.98,False,False,False
within an hour,100%,98%,f,Newton,f,42.35043,-71.06569,Other,Entire home/apt,4,1.0,1.0,2.0,1,365,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,STR-545048,f,$241.00,Fast,1.0,0.98,False,False,False
within an hour,100%,100%,t,Back Bay,f,42.36672,-71.0556,Other,Entire home/apt,5,1.0,2.0,2.0,10,365,9,2,5.0,5.0,5.0,5.0,5.0,5.0,4.25,STR-544878,t,$485.00,Fast,1.0,1.0,True,False,True
within an hour,100%,100%,f,West Street / River Street,t,42.27131552,-71.12159059,Other,Private room,2,1.0,1.0,1.0,2,365,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,STR-546859,f,$63.00,Fast,1.0,1.0,False,True,False
within an hour,100%,97%,t,Roxbury,t,42.31722925,-71.09690343,Other,Entire home/apt,7,2.0,3.0,5.0,2,27,9,1,5.0,5.0,4.89,4.89,5.0,4.56,4.89,STR-528277,f,$371.00,Fast,1.0,0.97,True,True,False
within an hour,100%,100%,f,Beacon Hill,f,42.359827,-71.069176,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,1125,17,6,5.0,5.0,4.94,4.94,5.0,4.94,4.63,STR-546510,f,$151.00,Fast,1.0,1.0,False,False,False
within an hour,100%,100%,f,Roxbury,f,42.3226427,-71.0689677,Other,Entire home/apt,8,2.0,4.0,4.0,1,365,18,3,4.39,4.56,4.61,4.89,4.83,4.0,4.56,Str-544901,t,$250.00,Fast,1.0,1.0,False,False,True
within an hour,100%,100%,f,Downtown,t,42.34180354,-71.08251799,Other,Entire home/apt,2,1.0,0.0,1.0,1,365,17,1,4.47,4.82,4.65,5.0,4.82,4.76,4.53,Exempt: This listing is a unit that has contracts with hospitals,t,$207.00,Fast,1.0,1.0,False,True,True
within an hour,100%,100%,f,Downtown,t,42.34185805,-71.08197598,Other,Entire home/apt,2,1.0,0.0,1.0,1,365,21,1,4.81,4.67,4.9,5.0,4.9,5.0,4.67,Exempt: This listing is a unit that has contracts with hospitals,t,$191.00,Fast,1.0,1.0,False,True,True
within an hour,100%,98%,f,Theater District,f,42.35313,-71.06398,Other,Entire home/apt,6,1.0,2.0,3.0,1,365,24,2,4.33,4.5,4.38,4.75,4.71,4.75,4.5,Exempt: This listing is a unit that has contracts with hospitals,f,$296.00,Fast,1.0,0.98,False,False,False
within an hour,100%,98%,f,Theater District,f,42.35119,-71.06484,Other,Entire home/apt,4,1.0,1.0,1.0,29,365,7,0,4.71,4.71,4.86,5.0,4.86,4.71,4.57,Exempt: This listing is a unit that has contracts with hospitals,f,$206.00,Fast,1.0,0.98,False,False,False
within an hour,100%,98%,f,Theater District,f,42.35252,-71.06335,Other,Entire home/apt,4,1.0,1.0,2.0,1,365,13,4,4.38,4.25,3.92,4.75,4.58,4.83,4.17,Exempt: This listing is a unit that has contracts with hospitals,f,$225.00,Fast,1.0,0.98,False,False,False
within an hour,100%,100%,f,Fenway–Kenmore,t,42.34184209,-71.08213585,Other,Entire home/apt,2,1.0,0.0,1.0,1,365,12,2,4.92,5.0,4.91,5.0,5.0,4.91,4.73,Exempt: This listing is a unit that has contracts with hospitals,t,$256.00,Fast,1.0,1.0,False,True,True
within an hour,100%,100%,f,Fenway–Kenmore,t,42.34358,-71.084,Other,Entire home/apt,2,1.0,0.0,1.0,1,365,12,2,4.92,4.92,4.92,4.92,5.0,5.0,4.5,Exempt: This listing is a unit that has contracts with hospitals,f,$218.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Fenway–Kenmore,t,42.34202,-71.0837,Other,Entire home/apt,2,1.0,0.0,1.0,1,365,27,1,4.85,4.81,4.81,4.85,4.81,4.93,4.74,Exempt: This listing is a unit that has contracts with hospitals,t,$234.00,Fast,1.0,1.0,False,True,True
within an hour,100%,100%,f,Fenway–Kenmore,t,42.34402358,-71.08239904,Other,Entire home/apt,2,1.0,0.0,1.0,1,365,26,2,4.65,4.81,4.81,4.85,4.85,4.88,4.62,Exempt: This listing is a unit that has contracts with hospitals,t,$208.00,Fast,1.0,1.0,False,True,True
within an hour,100%,100%,f,Fenway–Kenmore,t,42.34378148,-71.08333199,Other,Entire home/apt,2,1.0,0.0,1.0,1,365,18,2,4.83,4.78,5.0,4.94,4.94,4.89,4.72,Exempt: This listing is a unit that has contracts with hospitals,f,$229.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Fenway–Kenmore,t,42.34354201,-71.08374689,Other,Entire home/apt,2,1.0,0.0,1.0,1,365,31,0,4.87,4.94,5.0,4.84,5.0,4.97,4.74,Exempt: This listing is a unit that has contracts with hospitals,f,$215.00,Fast,1.0,1.0,False,True,False
within an hour,100%,94%,f,Southern Mattapan,t,42.26976,-71.08894,House,Entire home/apt,10,1.0,4.0,1.0,3,365,6,0,4.67,4.83,4.83,5.0,5.0,4.5,4.67,STR-458350,f,$35.00,Fast,1.0,0.94,False,True,False
within an hour,100%,98%,f,Theater District,f,42.3534276,-71.06367883,Other,Entire home/apt,4,1.0,1.0,2.0,1,365,12,4,4.42,4.3,4.3,4.7,4.4,4.8,4.1,Exempt: This listing is a unit that has contracts with hospitals,f,$170.00,Fast,1.0,0.98,False,False,False
within an hour,100%,99%,t,Spring Hill,t,42.36596,-71.053,Other,Entire home/apt,2,1.0,0.0,1.0,1,365,13,2,4.77,5.0,5.0,4.92,5.0,4.92,4.62,STR-546555,f,$185.00,Fast,1.0,0.99,True,True,False
within an hour,100%,99%,t,Spring Hill,t,42.36777638,-71.05398494,Other,Entire home/apt,3,1.0,1.0,2.0,1,365,15,1,4.67,4.71,4.64,4.93,5.0,4.64,4.57,STR-546550,t,$204.00,Fast,1.0,0.99,True,True,True
within an hour,100%,99%,t,Spring Hill,t,42.36474704,-71.05588948,Other,Entire home/apt,6,1.0,2.0,3.0,1,365,9,2,5.0,5.0,4.88,4.88,5.0,5.0,5.0,STR-546562,f,$265.00,Fast,1.0,0.99,True,True,False
within an hour,100%,100%,f,Fenway–Kenmore,t,42.3428614,-71.0829174,Other,Entire home/apt,2,1.0,0.0,1.0,1,365,26,4,4.62,4.73,4.85,4.85,4.88,4.92,4.46,Exempt: This listing is a unit that has contracts with hospitals,t,$188.00,Fast,1.0,1.0,False,True,True
